make,model,part,total_paid
PEUGEOT,3008,Air Con (Various Faults),183.44
PEUGEOT,207,Wheel Bearing,181.46
PEUGEOT,208,Water Pump,181.20
PEUGEOT,207,Oxygen (Lambda) Sensor,180.70
PEUGEOT,PARTNER,Thermostat Housing,180.11
PEUGEOT,207,Thermostat Housing,180.10
PEUGEOT,207,Heater Fan Motor,179.42
PEUGEOT,308,Spring (Suspension),178.07
PEUGEOT,207,Spring (Suspension),177.61
PEUGEOT,308,Clutch (Various Faults),177.06
PEUGEOT,4007,Steering Rack,176.31
PEUGEOT,207,Alternator,175.50
PEUGEOT,208,Water Pump,175.00
PEUGEOT,3008,Brakes,172.94
PEUGEOT,PARTNER,Heater Fan Motor,171.00
PEUGEOT,207,Suspension (Various Faults),170.58
PEUGEOT,208,,170.41
PEUGEOT,3008,Gearbox (Various Faults),168.00
PEUGEOT,308,Gearbox (Various Faults),168.00
PEUGEOT,307,Gearbox (Various Faults),167.41
PEUGEOT,207,Engine (Various Faults),167.00
PEUGEOT,RCZ,Oxygen (Lambda) Sensor,166.10
PEUGEOT,107,Indicator Stalk Switch,165.92
PEUGEOT,207,Window Regulator,162.62
PEUGEOT,207,Steering Rack,161.87
PEUGEOT,308,Spring (Suspension),161.35
PEUGEOT,207,Water Pump,161.19
PEUGEOT,308,Vacuum Pump,160.40
PEUGEOT,308,Thermostat,160.00
PEUGEOT,207,Radiator,159.90
PEUGEOT,3008,Engine (Various Faults),157.36
PEUGEOT,RCZ,Electrical ,156.35
PEUGEOT,208,Electrical ,156.22
PEUGEOT,407,Electrical ,155.23
PEUGEOT,2008,Suspension (Various Faults),154.84
PEUGEOT,107,Electrical ,153.80
PEUGEOT,3008,Abs (Various Faults),153.47
PEUGEOT,207,Water Pump,151.89
PEUGEOT,PARTNER,Air Flow Meter,150.79
PEUGEOT,207,Electrical ,150.49
PEUGEOT,308,Electrical ,150.00
PEUGEOT,208,Sensors,148.94
PEUGEOT,207,Clutch (Various Faults),148.44
PEUGEOT,207,Electrical ,148.12
PEUGEOT,308,Wheel Bearing,148.00
PEUGEOT,107,Indicator Stalk Switch,147.41
PEUGEOT,2008,Air Bag System,146.74
PEUGEOT,207,Thermostat Housing,146.10
PEUGEOT,308,Sensors,143.50
PEUGEOT,207,Thermostat Housing,143.40
PEUGEOT,307,Heater Matrix,142.58
PEUGEOT,107,Starter Motor,142.20
PEUGEOT,207,Drive Shaft,139.30
PEUGEOT,107,Electrical ,137.92
PEUGEOT,107,Brakes (Various Faults),137.80
PEUGEOT,PARTNER,Electrical ,135.32
PEUGEOT,3008,Electrical ,134.16
PEUGEOT,207,Oxygen (Lambda) Sensor,132.40
PEUGEOT,208,Engine (Various Faults),132.30
PEUGEOT,207,Water Pump,130.17
PEUGEOT,307,Thermostat Housing,129.67
PEUGEOT,207,Vanos Unit,129.40
PEUGEOT,207,Wheel Bearing,127.94
PEUGEOT,108,Oxygen (Lambda) Sensor,127.93
PEUGEOT,307,Heater Matrix,127.86
PEUGEOT,RCZ,,127.50
PEUGEOT,2008,Abs (Various Faults),127.20
PEUGEOT,207,Brakes (Various Faults),126.88
PEUGEOT,107,Water Pump,126.23
PEUGEOT,308,Oxygen (Lambda) Sensor,125.40
PEUGEOT,207,Alternator,123.25
PEUGEOT,207,Thermostat Housing,123.20
PEUGEOT,107,Brakes (Various Faults),121.74
PEUGEOT,207,Starter Motor,121.69
PEUGEOT,2008,Engine (Various Faults),120.00
PEUGEOT,207,Thermostat,117.84
PEUGEOT,207,Wheel Bearing,117.24
PEUGEOT,308,Thermostat,117.08
PEUGEOT,207,Radiator,116.66
PEUGEOT,BIPPER,Electrical ,115.93
PEUGEOT,207,Thermostat Housing,115.89
PEUGEOT,BIPPER,E.G.R Valve,115.00
PEUGEOT,308,Suspension (Various Faults),112.06
PEUGEOT,308,Cv Joint,111.89
PEUGEOT,2008,Suspension (Various Faults),111.64
PEUGEOT,208,Ignition Coil,108.72
PEUGEOT,107,Water Pump,107.94
PEUGEOT,207,Wheel Bearing,107.16
PEUGEOT,307,Suspension (Various Faults),106.56
PEUGEOT,207,Washer Pump,106.38
PEUGEOT,207,Thermostat Housing,106.18
PEUGEOT,207,Spring (Suspension),105.56
PEUGEOT,207,Thermostat,105.00
PEUGEOT,RCZ,Ignition Coil,103.94
PEUGEOT,5008,Fuel System,103.29
PEUGEOT,107,Water Pump,103.29
PEUGEOT,207,Radiator,102.70
PEUGEOT,308,Water Pump,102.00
PEUGEOT,BIPPER,Air Flow Meter,101.88
PEUGEOT,207,Engine (Various Faults),100.00
PEUGEOT,308,Wheel Bearing,100.00
PEUGEOT,207,Engine (Various Faults),100.00
PEUGEOT,3008,Turbocharger,98.58
PEUGEOT,308,Spring (Suspension),98.11
PEUGEOT,207,Sensors,94.70
PEUGEOT,PARTNER,Suspension (Various Faults),94.09
PEUGEOT,308,Ignition Coil,93.50
PEUGEOT,3008,,90.96
PEUGEOT,207,Ignition Coil,90.00
PEUGEOT,208,Ignition Coil,89.00
PEUGEOT,207,Ignition Coil,88.84
PEUGEOT,2008,,85.68
PEUGEOT,3008,,85.68
PEUGEOT,2008,,85.68
PEUGEOT,508,,85.68
PEUGEOT,208,,85.68
PEUGEOT,308,,85.68
PEUGEOT,BOXER VAN,,85.68
PEUGEOT,5008,,85.68
PEUGEOT,308,,85.68
PEUGEOT,208,,85.68
PEUGEOT,207,Gearbox (Various Faults),84.00
PEUGEOT,BIPPER,Turbocharger,84.00
PEUGEOT,BIPPER,Engine (Various Faults),84.00
PEUGEOT,3008,Gearbox (Various Faults),84.00
PEUGEOT,207,Engine (Various Faults),84.00
PEUGEOT,208,Engine (Various Faults),84.00
PEUGEOT,207,Steering Rack,84.00
PEUGEOT,208,Ignition Coil,84.00
PEUGEOT,508,Clutch (Various Faults),84.00
PEUGEOT,3008,Oil Leaks,84.00
PEUGEOT,308,Engine (Various Faults),84.00
PEUGEOT,5008,Clutch (Various Faults),84.00
PEUGEOT,308,Engine (Various Faults),84.00
PEUGEOT,3008,Clutch (Various Faults),84.00
PEUGEOT,BOXER,Engine (Various Faults),84.00
PEUGEOT,RCZ,Multimedia,84.00
PEUGEOT,207,Suspension (Various Faults),83.00
PEUGEOT,PARTNER,Temperature Sender,82.38
PEUGEOT,208,Ignition Coil,82.36
PEUGEOT,107,Ignition Coil,82.09
PEUGEOT,BIPPER,Heater/Glow Plugs,81.56
PEUGEOT,508,Clutch (Various Faults),81.21
PEUGEOT,3008,Ignition Coil,77.60
PEUGEOT,308,Fuel System,77.28
PEUGEOT,308,Ignition Coil,74.77
PEUGEOT,307,Suspension (Various Faults),73.21
PEUGEOT,308,Wheel Bearing,72.03
PEUGEOT,BOXER,Gearbox (Various Faults),71.00
PEUGEOT,308,Air Con (Various Faults),70.00
PEUGEOT,207,Sensors,66.62
