make,model,part,total_paid
FORD,GALAXY,Steering Pump,531.60
FORD,FIESTA,Air Con (Various Faults),531.54
FORD,TRANSIT,Fuel System,528.49
FORD,COURIER,Thermostat Housing,526.98
FORD,MONDEO,Drive Shaft,526.58
FORD,FOCUS,Heater Matrix,522.00
FORD,MONDEO,Gearbox (Various Faults),516.00
FORD,S-MAX,Turbocharger,513.50
FORD,FIESTA,Drive Shaft,513.42
FORD,TRANSIT,Steering Rack,512.00
FORD,FIESTA,Air Con (Various Faults),510.40
FORD,FOCUS,Heater Matrix,507.90
FORD,FOCUS,Steering Pump,506.07
FORD,C-MAX,Clutch (Various Faults),503.75
FORD,FIESTA,,502.00
FORD,FOCUS,Air Con (Various Faults),501.22
FORD,GALAXY,Turbocharger,501.00
FORD,MONDEO,Turbocharger,500.65
FORD,FIESTA ST,Gearbox (Various Faults),500.05
FORD,TRANSIT,Gearbox (Various Faults),500.00
FORD,TRANSIT,Fuel Injectors,500.00
FORD,TRANSIT,Cylinder Head Gasket,500.00
FORD,S-MAX,Clutch (Various Faults),500.00
FORD,TRANSIT,Air Con (Various Faults),500.00
FORD,TRANSIT,E.G.R Valve,500.00
FORD,FOCUS,Fuel Injectors,496.07
FORD,TRANSIT,Headlamp/ Fog Lamp Unit,495.43
FORD,FOCUS,Gearbox (Various Faults),492.50
FORD,TRANSIT,Clutch (Various Faults),489.74
FORD,C-MAX,Fuel Injectors,489.15
FORD,FOCUS,Steering Pump,486.41
FORD,RANGER PICKUP,Air Con (Various Faults),486.26
FORD,MONDEO,Oil Leaks,484.75
FORD,FOCUS,Fuel Injection Pump,484.50
FORD,GALAXY,Turbocharger,484.40
FORD,FIESTA,Gearbox (Various Faults),484.00
FORD,FOCUS,Fuel Injection Pump,483.56
FORD,FIESTA,Gearbox (Various Faults),482.69
FORD,FOCUS,Engine (Various Faults),482.10
FORD,C-MAX,Fuel System,481.04
FORD,TRANSIT,Fuel Injectors,478.80
FORD,TRANSIT,Turbocharger,478.30
FORD,B-MAX,Gearbox (Various Faults),477.17
FORD,MONDEO,Fuel Injection Pump,475.92
FORD,FOCUS,Drive Shaft,475.08
FORD,FOCUS,Heater Matrix,474.00
FORD,TRANSIT,Fuel Injection Pump,465.64
FORD,S-MAX,Electrical ,464.21
FORD,FIESTA,Gearbox (Various Faults),464.00
FORD,FOCUS,CLUTCH (VARIOUS FAULTS),463.42
FORD,GALAXY,Electrical ,462.38
FORD,KUGA,Fuel Injectors,458.50
FORD,TRANSIT,Steering Pipe,457.96
FORD,FOCUS,Heater Matrix,455.60
FORD,TRANSIT,Engine (Various Faults),453.68
FORD,FIESTA ST,Air Con (Various Faults),452.76
FORD,KUGA,Spring (Suspension),452.01
FORD,S-MAX,Fuel Lift Pump,451.33
FORD,FOCUS,Dpf Regeneration,450.00
FORD,FIESTA ST,Drive Shaft,448.42
FORD,FIESTA,Engine (Various Faults),447.57
FORD,C-MAX,Sensors,447.09
FORD,FOCUS,Electrical ,443.58
FORD,MUSTANG,Belts/ Aux Belts,442.37
FORD,RANGER PICKUP,Heater/Glow Plugs,442.08
FORD,TRANSIT,Fuel Injectors,441.00
FORD,FOCUS,Electrical,439.84
FORD,RANGER PICKUP,Dpf Filter,439.04
FORD,FIESTA,Alternator,438.76
FORD,FIESTA,Cylinder Head,437.56
FORD,FIESTA,Clutch (Various Faults),437.20
FORD,C-MAX,Clutch (Various Faults),437.13
FORD,FOCUS,Alternator,436.99
FORD,TRANSIT,E.G.R Valve,434.74
FORD,FOCUS,Alternator,433.34
FORD,MONDEO,Alternator,432.00
FORD,S-MAX,Fuel System,429.99
FORD,KUGA,Fuel System,425.14
FORD,FIESTA,Fuel Injectors,424.60
FORD,GALAXY,Engine (Various Faults),423.94
FORD,FOCUS,Fuel Vapouriser,423.23
FORD,FOCUS,Steering Pump,420.91
FORD,C-MAX,E.G.R Valve,420.79
FORD,TRANSIT,Brakes (Various Faults),419.43
FORD,FOCUS ST,Fuel System (Various Faults),417.20
FORD,FOCUS RS,Drive Shaft,416.41
FORD,FOCUS,Catalyst (Exhaust),415.51
FORD,FIESTA,Headlamp/ Fog Lamp Unit,412.44
FORD,C-MAX,Heater Matrix,411.83
FORD,TRANSIT,Fuel Injectors,411.47
FORD,FOCUS,Air Con (Various Faults),410.06
FORD,FUSION,Turbocharger,410.00
FORD,FOCUS,Vacuum Pump,407.96
FORD,C-MAX,Steering Pump,407.89
FORD,C-MAX,Fuel System,405.24
FORD,KA,Instrument Cluster / Clocks,405.15
FORD,KUGA,Electrical ,403.80
FORD,TRANSIT,Engine Oil Pump,402.24
FORD,C-MAX,Steering Rack,402.00
FORD,TRANSIT,Dpf Filter,401.11
FORD,TRANSIT,Engine Oil Pump,400.00
FORD,S-MAX,Clutch (Various Faults),400.00
FORD,FIESTA,Engine (Various Faults),400.00
FORD,FIESTA,Throttle Body,400.00
