make,model,part,total_paid
BMW,X5,Oil Leaks,750.00
BMW,X5,Oil Leaks,750.00
BMW,1 SERIES,Air Con (Various Faults),745.56
BMW,2 SERIES,Air Con (Various Faults),742.68
BMW,Z4,Engine (Various Faults),741.63
BMW,I3,Electrical ,740.19
BMW,M3,Oil Cooler-,737.61
BMW,4 SERIES,Alternator,736.59
BMW,1 SERIES,Engine (Various Faults),734.00
BMW,5 SERIES,Suspension (Various Faults),731.92
BMW,5 SERIES,Turbocharger,730.80
BMW,X5,Suspension (Various Faults),730.39
BMW,1 SERIES,Engine (Various Faults),722.26
BMW,3 SERIES,Flywheel ,721.72
BMW,3 SERIES,Gearbox (Various Faults),718.88
BMW,6 SERIES,Door Handle (Electronic),717.54
BMW,5 SERIES,Sensors,716.12
BMW,3 SERIES,Water Pump,710.01
BMW,4 SERIES,Heater Fan Motor,709.79
BMW,5 SERIES,Fuel System (Various Faults),708.58
BMW,1 SERIES,Fuel Injectors,700.27
BMW,5 SERIES,,700.00
BMW,3 SERIES,Water Pump,699.99
BMW,Z4,Radiator,695.47
BMW,X4,E.G.R Valve,695.42
BMW,I3,Air Con (Various Faults),690.02
BMW,1 SERIES,Ecu Engine,689.00
BMW,1 SERIES,Timing Chain,687.89
BMW,1 SERIES,Flywheel ,684.00
BMW,X3,Engine Oil Pump,684.00
BMW,4 SERIES,E.G.R Valve,683.92
BMW,1 SERIES,Cylinder Head Gasket,682.80
BMW,X3,E.G.R Valve,682.50
BMW,5 SERIES,E.G.R Valve,681.29
BMW,3 SERIES,Flywheel,676.64
BMW,I3,Air Con (Various Faults),676.55
BMW,1 SERIES,Fuel System,673.81
BMW,3 SERIES,Fuel Injectors,670.66
BMW,3 SERIES,Camshaft Belt,670.11
BMW,2 SERIES,Oxygen (Lambda) Sensor,668.27
BMW,1 SERIES,Electrical,657.91
BMW,3 SERIES,Heater Matrix,657.18
BMW,X5,Electrical ,657.00
BMW,X1 4X4,Indicator Stalk Switch,656.77
BMW,3 SERIES,Gearbox (Various Faults),654.84
BMW,5 SERIES,Crankshaft Pulley,651.54
BMW,3 SERIES,Engine Oil Pump,650.00
BMW,5 SERIES,Fuel Injectors,650.00
BMW,X5,Fuel Injectors,643.00
BMW,I3,Electrical ,642.11
BMW,3 SERIES,Engine (Various Faults),634.00
BMW,X1,E.G.R Cooler,630.49
BMW,1 SERIES,Steering Rack,628.60
BMW,X4,Electrical ,627.36
BMW,1 SERIES,Electrical,625.49
BMW,2 SERIES,E.G.R Valve,623.76
BMW,M3,Brakes (Various Faults),622.93
BMW,1 SERIES,Clutch (Various Faults),621.46
BMW,M3,Steering Rack,621.00
BMW,1 SERIES,Water Pump,618.24
BMW,Z4,Engine Oil Pump,616.56
BMW,1 SERIES,E.G.R Valve,612.54
BMW,1 SERIES,Fuel System,609.86
BMW,6 SERIES,Multimedia,607.14
BMW,5 SERIES,Oil Leaks,605.85
BMW,3 SERIES,Ignition Coil,600.00
BMW,1 SERIES,Engine (Various Faults),600.00
BMW,1 SERIES,Fuel Injectors,598.20
BMW,1 SERIES,E.G.R Valve,596.60
BMW,1 SERIES,Fuel Injectors,596.00
BMW,M4,Brakes (Various Faults),594.47
