make,model,part,total_paid
MINI,COOPER,Ignition Coil,95.03
MINI,COOPER,Suspension (Various Faults),95.00
MINI,COUNTRYMAN,Trims (Interior And Exterior),90.00
MINI,COOPER S,Sensors,89.99
MINI,COOPER S,Fuel System,85.78
MINI,COOPER,,85.68
MINI,COUNTRYMAN,,85.68
MINI,COOPER,Engine (Various Faults),84.00
MINI,CLUBMAN,Engine (Various Faults),84.00
MINI,COOPER,Engine (Various Faults),84.00
MINI,COOPER S,Engine (Various Faults),84.00
MINI,COOPER S,Suspension (Various Faults),84.00
MINI,COOPER S,Fuel System,84.00
MINI,D,Gearbox (Various Faults),84.00
MINI,COOPER S,Drive Shaft,84.00
MINI,HATCHBACK,Clutch (Various Faults),84.00
MINI,COOPER,Engine (Various Faults),84.00
MINI,CONVERTIBLE,Engine (Various Faults),84.00
MINI,COOPER,Timing Chain,84.00
MINI,COOPER,Timing Chain,84.00
MINI,COOPER,Engine (Various Faults),84.00
MINI,COOPER S,Engine (Various Faults),84.00
MINI,COUNTRYMAN,Engine (Various Faults),84.00
MINI,CONVERTIBLE,Engine (Various Faults),84.00
MINI,COOPER S,Engine (Various Faults),84.00
MINI,CLUBMAN,Engine (Various Faults),84.00
MINI,COOPER,Engine (Various Faults),84.00
MINI,HATCH,Gearbox (Various Faults),84.00
MINI,COUNTRYMAN,Engine (Various Faults),84.00
MINI,COOPER S,Engine (Various Faults),84.00
MINI,COUNTRYMAN,Engine (Various Faults),84.00
MINI,COOPER,Turbocharger,84.00
MINI,COOPER,Gearbox (Various Faults),84.00
MINI,COOPER,Engine (Various Faults),84.00
MINI,COOPER,Engine (Various Faults),84.00
MINI,COUNTRYMAN,Engine (Various Faults),84.00
MINI,COOPER,Engine (Various Faults),84.00
MINI,D,E.G.R Valve,83.76
MINI,COOPER,Ignition Coil,83.00
MINI,JOHN COOPER WORKS,Water Pump,78.71
MINI,COOPER S,Cooling,78.10
MINI,ONE,Ignition Coil,77.00
MINI,COUNTRYMAN,Ignition Coil,75.99
MINI,CLUBMAN,Electrical ,73.85
MINI,COUNTRYMAN,Oil Leaks,73.03
MINI,COOPER,Ignition Coil,73.00
MINI,COOPER,Spring (Suspension),70.38
MINI,COOPER S,Heater/Glow Plugs,67.70
MINI,COUNTRYMAN,Ignition Coil,66.52
MINI,COOPER,Ignition Coil,66.25
MINI,CONVERTIBLE,Ignition Coil,60.00
MINI,CLUBMAN,Suspension (Various Faults),59.11
MINI,CONVERTIBLE,Ignition Coil,58.19
MINI,COOPER S,Heater Resistor,53.97
MINI,ONE,Sensors,53.31
MINI,COOPER S,Electrical ,50.29
MINI,FIRST,Temperature Sender,48.76
MINI,ONE,Ignition Coil,35.40
MINI,COOPER,Sensors,25.45
MINI,ONE,Sensors,18.39
